Date_Start_Date,Project_Size,Project_Cost
2/27/2017,0,0
2/27/2017,0,0
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,1,1
2/28/2017,0,0
2/28/2017,0,0
2/28/2017,0,0
2/28/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/6/2017,0,0
3/7/2017,0,1
3/8/2017,0,0
3/8/2017,0,0
3/9/2017,1,1
3/9/2017,1,1
3/9/2017,1,1
3/9/2017,0,0
3/9/2017,0,0
3/15/2017,0,0
3/15/2017,0,0
3/15/2017,0,0
3/15/2017,0,0
3/16/2017,0,0
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/16/2017,1,1
3/17/2017,1,1
3/22/2017,0,0
3/22/2017,0,0
3/22/2017,0,0
3/22/2017,0,0
3/22/2017,0,0
3/24/2017,1,1
3/24/2017,0,0
3/24/2017,0,0
3/24/2017,0,0
3/24/2017,0,0
3/24/2017,0,0
3/24/2017,0,0
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/27/2017,1,1
3/29/2017,1,1
3/29/2017,0,0
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/29/2017,1,1
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
3/31/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/3/2017,0,0
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,5000,1000000
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,1,1
4/4/2017,0,0
4/4/2017,0,0
4/4/2017,0,0
4/4/2017,0,0
4/5/2017,0,0
4/5/2017,0,0
4/5/2017,0,0
4/6/2017,0,0
4/6/2017,0,0
4/6/2017,0,0
4/7/2017,0,0
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/10/2017,1,1
4/11/2017,0,0
4/11/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,0,0
4/12/2017,28000,7000000
4/12/2017,28000,7000000
4/12/2017,28000,7000000
4/12/2017,0,0
4/12/2017,0,0
4/14/2017,1,1
4/14/2017,1,1
4/14/2017,1,1
4/14/2017,1,1
4/17/2017,0,0
4/17/2017,0,0
4/17/2017,0,0
4/17/2017,0,0
4/17/2017,0,0
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,1,1
4/19/2017,0,0
4/20/2017,0,0
4/20/2017,0,0
4/20/2017,0,0
4/20/2017,0,0
4/20/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/21/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
