Date_Start_Date,Project_Cost,Project_Size
5/25/2017,1000000,5000
5/25/2017,1,1
5/25/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1,1
5/26/2017,1000000,5000
5/26/2017,1000000,5000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,13623978,56000
6/4/2017,1,1
6/5/2017,350000,16000
6/5/2017,350000,16000
6/5/2017,350000,16000
6/5/2017,350000,16000
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/5/2017,1,1
6/7/2017,1,1
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,11500000,75695
6/8/2017,1,1
6/8/2017,1,1
6/8/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/9/2017,1,1
6/14/2017,1,1
6/15/2017,15000000,60000
6/19/2017,1,1
6/26/2017,6600000,27800
6/26/2017,6600000,27800
6/27/2017,48000000,150000
6/27/2017,48000000,150000
6/27/2017,48000000,150000
6/27/2017,48000000,150000
6/27/2017,48000000,150000
6/28/2017,1,1
6/28/2017,1,1
6/28/2017,1,1
6/29/2017,2500000,8515
6/29/2017,2500000,8515
6/29/2017,2500000,8515
6/29/2017,2500000,8515
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
6/30/2017,1,1
7/5/2017,1,1
7/5/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/6/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/7/2017,1,1
7/11/2017,1,1
7/11/2017,1,1
7/11/2017,1,1
7/11/2017,1,1
7/11/2017,1,1
7/11/2017,1,1
7/13/2017,27000,90000
7/13/2017,27000,90000
7/13/2017,420000,100
7/13/2017,420000,100
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/17/2017,1,1
7/20/2017,18000000,34707
7/20/2017,18000000,34707
7/20/2017,18000000,34707
7/20/2017,18000000,34707
7/20/2017,18000000,34707
7/24/2017,1,1
7/24/2017,1,1
7/24/2017,1,1
7/24/2017,1,1
7/28/2017,1,1350
8/1/2017,700000,9324
8/3/2017,1000000,5000
8/3/2017,1000000,5000
8/3/2017,1000000,5000
8/3/2017,1000000,5000
8/3/2017,1000000,5000
8/3/2017,1000000,5000
8/8/2017,1,1
8/8/2017,1,1
8/8/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/9/2017,1,1
8/11/2017,1,1
8/13/2017,1,1
8/13/2017,1,1
8/13/2017,1,1
8/13/2017,1,1
8/13/2017,1,1
8/13/2017,1,1
8/14/2017,1,1
8/14/2017,1,1
8/14/2017,1,1
8/14/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/16/2017,1,1
8/17/2017,1,1
8/17/2017,1,1
8/17/2017,1,1
8/23/2017,1,1
8/23/2017,1,1
8/23/2017,100,100
8/23/2017,100,100
8/23/2017,100,100
8/23/2017,100,100
8/23/2017,100,100
8/23/2017,100,100
8/23/2017,100,100
8/23/2017,100,100
8/24/2017,1,1
8/24/2017,1,1
8/24/2017,1,1
8/24/2017,1,1
8/24/2017,1,1
8/24/2017,1,1
8/28/2017,1,1
8/28/2017,1,1
8/28/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/12/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/14/2017,1,1
9/20/2017,1,1
9/20/2017,1,1
9/20/2017,1,1
9/22/2017,1,1
9/22/2017,1,1
9/22/2017,1,1
9/22/2017,1,1
9/26/2017,1,1
9/26/2017,1,1
9/26/2017,1,1
9/26/2017,1,1
9/26/2017,1,1
9/27/2017,1,1
9/27/2017,1,1
9/27/2017,1,1
9/27/2017,1,1
10/2/2017,1,1
10/2/2017,1,1
10/2/2017,1,1
10/3/2017,1,1
10/3/2017,1,1
10/4/2017,1,1
10/4/2017,1,1
10/4/2017,1,1
10/4/2017,1,1
10/4/2017,1,1
10/4/2017,2344444,1212
10/4/2017,2344444,1212
10/4/2017,2344444,1212
10/5/2017,3500000,16000
10/5/2017,3500000,16000
10/5/2017,3500000,16000
10/5/2017,3500000,16000
10/5/2017,3500000,16000
10/5/2017,3500000,16000
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/5/2017,1,1
10/10/2017,1,1
10/10/2017,1,1
10/10/2017,1,1
10/10/2017,1,1
10/10/2017,1,1
10/17/2017,1,1
10/18/2017,1,1
10/18/2017,1,1
10/18/2017,1,1
10/18/2017,1,1
10/18/2017,1,1
10/18/2017,1,1
10/25/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
10/30/2017,1,1
11/1/2017,1,50000
11/2/2017,1,1
11/2/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/6/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/7/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/9/2017,1,1
11/14/2017,1,1
11/14/2017,1,1
11/14/2017,1,1
11/14/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/15/2017,1,1
11/16/2017,1,1
11/16/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1,1
11/17/2017,1000000,5000
11/17/2017,1000000,5000
11/17/2017,1000000,5000
11/17/2017,1000000,5000
11/17/2017,1000000,5000
11/17/2017,1000000,5000
11/20/2017,1,1
11/20/2017,1,1
11/20/2017,1,1
11/20/2017,1,1
11/20/2017,1,1
11/20/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/21/2017,1,1
11/22/2017,1,1
11/22/2017,1,1
11/22/2017,1,1
