Date_Last_Change,Project_Cost,Project_Size
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2020-01-13 21:13:30,1000000,5000
2017-11-01 16:55:17,0,0
2017-11-01 16:55:17,0,0
2017-11-01 16:55:17,0,0
2017-11-01 16:55:17,0,0
2017-11-01 16:55:17,0,0
2017-11-01 16:55:17,0,0
2017-11-01 16:55:17,0,0
2018-08-14 16:32:45,1,1
2018-08-14 16:32:45,1,1
2018-08-14 16:32:45,1,1
2018-08-14 16:32:45,1,1
2017-11-30 12:33:15,0,0
2017-11-30 12:33:15,0,0
2017-11-30 12:33:15,0,0
2017-11-30 12:33:15,0,0
2017-11-30 12:33:15,0,0
2017-11-30 12:33:15,0,0
2017-09-11 14:20:15,0,0
2017-09-26 12:25:21,0,0
2017-09-26 12:25:21,0,0
2017-09-26 12:25:21,0,0
2017-09-26 12:25:21,0,0
2017-09-26 12:25:21,0,0
2017-09-26 12:25:21,0,0
2017-12-20 22:43:51,1,1
2018-09-05 20:37:35,1,1
2018-09-05 20:37:35,1,1
2018-09-05 20:37:35,1,1
2017-12-08 12:09:20,0,0
2017-12-08 12:09:20,0,0
2017-12-08 12:09:20,0,0
2017-12-08 12:09:20,0,0
2017-12-08 12:09:20,0,0
2017-12-08 12:09:20,0,0
2017-12-08 12:09:20,0,0
2017-07-06 14:06:44,0,0
2018-05-15 08:24:53,1,0
2018-05-15 08:24:53,1,0
2018-05-15 08:24:53,1,0
2018-05-15 08:24:53,1,0
2017-09-12 09:09:26,0,0
2017-09-12 09:09:26,0,0
2017-09-12 09:09:26,0,0
2017-09-12 09:09:26,0,0
2017-09-12 09:09:26,0,0
2017-09-12 09:09:26,0,0
2017-08-08 11:35:08,0,0
2017-09-14 10:03:10,0,0
2017-08-08 11:35:08,0,0
2017-09-14 10:03:10,0,0
2017-08-08 11:35:08,0,0
2017-09-14 10:03:10,0,0
2017-08-17 12:35:41,0,0
2017-08-14 15:11:53,0,0
2017-08-14 15:11:53,0,0
2017-08-14 15:11:53,0,0
2017-08-14 15:11:53,0,0
2017-08-17 12:35:41,0,0
2017-09-14 10:03:10,0,0
2017-08-17 12:35:41,0,0
2017-08-17 12:35:41,0,0
2017-08-08 11:35:08,0,0
2017-10-26 17:00:10,0,0
2017-10-26 17:00:10,0,0
2017-10-26 17:00:10,0,0
2017-10-26 17:00:10,0,0
2017-10-26 17:00:10,0,0
2017-10-26 17:00:10,0,0
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2020-01-17 18:27:02,1000000,5000
2019-04-04 15:51:18,1,0
2019-04-04 15:51:18,1,0
2019-04-04 15:51:18,1,0
2019-04-04 15:51:18,1,0
2019-04-04 15:51:18,1,0
2020-01-13 21:13:19,1000000,5000
2020-01-13 21:13:19,1000000,5000
2020-01-13 21:13:19,1000000,5000
2020-01-13 21:13:19,1000000,5000
2017-06-27 07:49:45,0,0
2017-06-27 07:49:45,0,0
2017-06-27 07:49:45,0,0
2017-06-27 07:49:45,0,0
2018-05-21 08:14:30,1,1
2018-05-21 08:14:30,1,1
2018-05-21 08:14:30,1,1
2018-05-21 08:14:30,1,1
2018-05-21 08:14:30,1,1
2018-01-12 14:33:22,0,0
2018-01-12 14:33:22,0,0
2018-01-12 14:33:22,0,0
2018-01-12 14:33:22,0,0
2017-08-24 17:00:14,0,0
2017-08-24 17:00:14,0,0
2017-08-24 17:00:14,0,0
2017-11-17 09:15:20,0,0
2017-11-17 09:15:20,0,0
2017-11-17 09:15:20,0,0
2017-11-17 09:15:20,0,0
2017-11-17 09:15:20,0,0
2018-06-13 16:16:39,1,0
2017-11-09 13:20:45,0,0
2017-11-09 13:20:45,0,0
2018-11-12 10:22:16,1,1
2018-11-12 10:22:16,1,1
2018-11-12 10:22:16,1,1
2017-06-07 15:35:37,0,0
2017-06-07 15:35:37,0,0
2017-11-20 15:06:25,0,0
2017-10-30 10:15:15,0,0
2017-10-30 10:15:15,0,0
2017-10-30 10:15:15,0,0
2017-06-08 13:40:12,0,0
2018-08-14 16:57:44,1,1
2018-08-14 16:57:44,1,1
2018-08-14 16:57:44,1,1
2018-08-14 16:57:44,1,1
2018-08-14 16:57:44,1,1
2019-02-11 18:00:23,1,1
2019-02-11 18:00:23,1,1
2018-05-07 09:36:22,1,1
2017-08-02 19:50:12,0,0
2017-09-19 10:12:41,0,0
2017-09-19 10:12:41,0,0
2017-09-19 10:12:41,0,0
2017-06-28 13:57:00,0,0
2018-05-17 11:36:51,1,1
2017-11-17 15:11:51,0,0
2017-11-17 15:11:51,0,0
2017-11-17 15:11:51,0,0
2017-11-17 15:11:51,0,0
2017-11-17 15:11:51,0,0
2017-11-17 15:11:51,0,0
2018-03-27 20:53:34,1,1
2018-03-27 20:53:34,1,1
2018-03-27 20:53:34,1,1
2018-03-27 20:53:34,1,1
2018-03-27 20:53:34,1,1
2018-03-27 20:53:34,1,1
2018-04-25 10:02:20,1,1
2017-10-02 14:25:24,0,0
2019-06-03 16:08:53,1,1
2019-06-03 16:08:53,1,1
2019-06-03 16:08:53,1,1
2019-06-03 16:08:53,1,1
2019-06-03 16:08:53,1,1
2019-06-03 16:08:53,1,1
2019-06-03 16:08:53,1,1
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-09-27 18:34:37,0,0
2017-08-17 15:34:45,0,0
2017-08-17 15:34:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2017-12-08 19:14:45,0,0
2020-01-13 21:12:02,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:02,1000000,5000
